100.73	-1.003	0.484
201.46	-1.003	0.484
302.19	-1.002	0.482
403.20	-1.001	0.482
504.57	-1.002	0.483
605.50	-1.002	0.483
706.44	-1.001	0.483
807.28	-1.001	0.485
908.12	-1.001	0.485
1008.93	-1.001	0.484
1109.74	-1.001	0.484
1210.56	-1.001	0.486
1311.42	-1.001	0.485
1412.30	-1.001	0.485
1516.41	-1.001	0.486
1617.27	-1.001	0.486
1717.96	-1.001	0.485
1818.71	-1.0	0.485
1919.45	-0.995	0.486
2020.19	-0.988	0.486
2120.94	-0.988	0.486
2222.45	-0.976	0.487
2323.31	-0.96	0.488
2424.97	-0.941	0.494
2525.81	-0.941	0.494
2626.70	-0.918	0.502
2727.72	-0.899	0.506
2828.63	-0.877	0.512
2929.49	-0.877	0.512
3030.35	-0.859	0.512
3131.27	-0.843	0.507
3232.15	-0.822	0.507
3332.99	-0.806	0.504
3434.11	-0.806	0.504
3535.23	-0.79	0.501
3636.03	-0.773	0.501
3736.94	-0.757	0.499
3837.88	-0.757	0.499
3942.82	-0.741	0.497
4043.80	-0.726	0.493
4144.77	-0.712	0.485
4245.66	-0.698	0.48
4346.52	-0.698	0.48
4447.35	-0.683	0.474
4548.26	-0.668	0.465
4649.21	-0.651	0.468
4749.97	-0.633	0.464
4850.83	-0.633	0.464
4955.18	-0.614	0.463
5056.01	-0.594	0.468
5156.94	-0.576	0.465
5257.94	-0.576	0.465
5358.86	-0.557	0.465
5459.76	-0.541	0.464
5560.63	-0.527	0.46
5661.54	-0.512	0.459
5762.40	-0.512	0.459
5863.27	-0.497	0.459
5964.16	-0.481	0.455
6065.00	-0.464	0.455
6165.92	-0.464	0.455
6266.71	-0.448	0.453
6367.67	-0.431	0.452
6468.55	-0.413	0.451
6569.39	-0.394	0.45
6670.19	-0.394	0.45
6770.99	-0.375	0.447
6871.77	-0.357	0.446
6972.60	-0.34	0.443
7075.39	-0.323	0.44
7176.36	-0.323	0.44
7277.23	-0.308	0.438
7378.12	-0.294	0.437
7479.21	-0.28	0.435
7580.20	-0.28	0.435
7681.11	-0.266	0.433
7781.94	-0.25	0.43
7882.92	-0.235	0.427
7983.77	-0.22	0.427
8084.52	-0.22	0.427
8185.34	-0.202	0.426
8286.20	-0.186	0.424
8387.05	-0.167	0.424
8487.96	-0.167	0.424
8588.93	-0.147	0.421
8690.33	-0.128	0.417
8791.63	-0.11	0.416
8892.59	-0.094	0.412
8993.42	-0.094	0.412
9094.21	-0.08	0.409
9195.29	-0.064	0.407
9296.32	-0.05	0.403
9401.60	-0.034	0.402
9504.62	-0.034	0.402
9605.48	-0.018	0.401
9706.32	-0.001	0.399
9807.18	0.014	0.397
9908.01	0.014	0.397
10008.94	0.032	0.395
10109.79	0.05	0.393
10210.73	0.069	0.389
10311.69	0.089	0.387
10412.58	0.089	0.387
10513.50	0.107	0.385
10614.31	0.124	0.382
10715.11	0.141	0.383
10815.87	0.141	0.383
10916.62	0.156	0.38
11017.50	0.171	0.379
11118.44	0.186	0.378
11219.23	0.202	0.376
11320.13	0.202	0.376
11421.03	0.217	0.375
11521.87	0.234	0.374
11622.70	0.251	0.37
11725.74	0.269	0.367
11826.81	0.288	0.363
11927.83	0.288	0.363
12028.86	0.307	0.358
12129.76	0.326	0.354
12230.53	0.326	0.354
12331.49	0.343	0.35
12432.37	0.343	0.35
12533.22	0.343	0.35
12633.99	0.343	0.35
12734.83	0.343	0.35
12835.75	0.359	0.346
12936.66	0.385	0.336
13037.52	0.412	0.334
13138.44	0.412	0.334
13239.35	0.438	0.329
13342.49	0.466	0.326
13443.42	0.484	0.328
13544.28	0.501	0.322
13645.20	0.501	0.322
13746.08	0.52	0.318
13846.84	0.539	0.309
13947.59	0.557	0.304
14052.37	0.574	0.3
14153.48	0.574	0.3
14254.28	0.591	0.298
14355.04	0.606	0.295
14455.83	0.621	0.291
14556.68	0.621	0.291
14657.59	0.636	0.287
14758.51	0.65	0.284
14859.39	0.666	0.283
14960.37	0.683	0.283
15061.32	0.683	0.283
15162.19	0.7	0.284
15263.10	0.719	0.283
15363.90	0.737	0.281
15464.75	0.737	0.281
15565.66	0.757	0.278
15666.50	0.777	0.274
15767.37	0.796	0.272
15868.13	0.813	0.268
15969.08	0.813	0.268
16069.98	0.828	0.266
16170.85	0.843	0.264
16271.68	0.858	0.26
16372.45	0.858	0.26
16473.26	0.873	0.259
16574.08	0.889	0.255
16674.90	0.906	0.253
16775.87	0.924	0.251
16876.68	0.924	0.251
16977.55	0.941	0.25
17078.47	0.962	0.25
17179.39	0.98	0.247
17280.32	0.98	0.247
17381.37	0.999	0.243
17482.21	1.017	0.238
17583.12	1.034	0.236
17684.04	1.051	0.234
17784.85	1.051	0.234
17885.70	1.067	0.232
17986.54	1.082	0.232
18087.39	1.098	0.229
18190.78	1.112	0.225
18291.68	1.112	0.225
18392.56	1.128	0.225
18493.34	1.141	0.22
18594.17	1.15	0.217
18694.98	1.15	0.217
18795.84	1.156	0.226
